Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Class,MINUTES
Eden Ben Zaken,מנגינה,29,0.57,0.458,9,-5.935,0,0.0236,0.502,2.35E-06,0.134,0.19,93.088,4,9,3.625483333
DaBaby,Baby Sitter (feat. Offset),70,0.852,0.73,1,-5.803,1,0.0579,0.0219,,0.336,0.394,92.506,4,5,2.628216667
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48,0.347,0.411,6,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,4,6,4.716883333
Clairmont The Second,intres-ting,44,0.796,0.441,7,-9.83,1,0.292,0.16,2.89E-05,0.118,0.371,158.105,4,1,2.297866667
Krankhead,Cut Throat,29,0.805,0.448,7,-9.452,1,0.112,0.0602,1.79E-06,0.113,0.775,160.018,4,5,2.3
The Stone Roses,Driving South,44,0.472,0.947,9,-6.128,1,0.0774,9.43E-06,0.0155,0.364,0.75,98.784,4,10,5.16445
R3HAB,Whiplash - Acoustic,44,0.556,0.188,8,-12.161,1,0.0316,0.494,,0.119,0.184,138.091,4,9,2.420283333
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,,0.548,0.711,10,-8.44,1,0.107,0.542,9.59E-05,0.355,0.618,119.675,3,0,4.015633333
MC Hammer,U Can't Touch This,73,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,4,9,4.289333333
duendita,Open Eyes,35,0.341,0.47,5,-10.144,1,0.037,0.226,0.105,0.518,0.203,144.109,4,1,3.404666667
Rainbow,Since You Been Gone,66,0.733,0.726,7,-6.514,1,0.0371,0.379,2.58E-06,0.471,0.915,120.814,4,8,3.286
fijitrip,Private Social Network,30,0.696,0.661,6,-5.996,1,0.0877,0.00103,3.21E-05,0.114,0.397,121.032,4,6,3.0137
Machine Gun Kelly,love race (feat. Kellin Quinn),81,0.517,0.848,10,-4.054,1,0.0521,0.00581,,0.214,0.429,95.906,4,9,3.146316667
ShittyCT,Mahapecha Shel Simcha,4,0.437,0.948,5,-4.287,0,0.092,0.000234,,0.0876,0.517,170.023,4,6,3.004883333
Tetrarch,Negative Noise,49,0.384,0.974,1,-3.647,0,0.141,0.000153,0.000247,0.226,0.155,194.842,4,8,4.122833333
Dreezy,Where Them $ @,42,0.858,0.525,,-7.332,1,0.148,0.0443,0.00738,0.197,0.351,170.875,4,5,3.2327
The Ayoub Sisters,Mother's Pride,16,0.297,0.0958,,-20.316,1,0.0384,0.844,0.855,0.126,0.296,80.672,4,7,3.503783333
Brandon Jack & The Artifacts,four days,29,0.516,0.948,2,-3.994,1,0.0644,0.0279,0.0564,0.15,0.957,170.087,4,1,2.17215
Moon Guitar,Struna,47,0.32,0.242,,-15.17,1,0.0422,0.941,0.93,0.165,0.431,81.09,4,7,2.817633333
Ivri Lider,נסיכה שלי,47,0.661,0.407,4,-9.283,1,0.0412,0.713,,0.115,0.337,127.873,4,9,3.611583333
Vieux Farka Touré,Bonheur,37,0.569,0.751,7,-12.826,1,0.0418,0.365,0.856,0.0561,0.758,105.156,4,2,5.6382
Kvelertak,Crack of Doom (feat. Troy Sanders),44,0.357,0.977,1,-6.489,0,0.124,1.60E-05,0.892,0.105,0.28,159.81,4,8,3.898816667
Better Than Ezra,Good,63,0.615,0.657,7,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,4,10,3.084883333
Lior Narkis,חלקת אלוהים - השיר של אופיר,44,0.479,0.444,,-6.497,1,0.0316,0.857,,0.141,0.236,107.915,4,9,2.904033333
Silversun Pickups,Lazy Eye,65,0.633,0.831,4,-5.053,1,0.0461,0.0401,0.693,0.117,0.243,127.397,4,10,5.906
Lilly Wood and The Prick,A Song,,0.618,0.438,11,-7.495,1,0.0762,0.407,,0.5,0.651,155.014,4,6,3.48845
Orange Juice,Rip It Up,55,0.881,0.546,7,-9.357,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,4,6,5.340216667
U2,The Blackout,49,0.624,0.528,9,-9.103,0,0.0344,0.0286,0.00516,0.0866,0.33,120.049,4,10,4.76555
Omer Adam,תגידי לי שטוב לך,37,0.607,0.503,2,-7.406,1,0.0703,0.446,,0.173,0.473,135.606,4,9,3.417333333
The Clash,The Magnificent Seven - Remastered,56,0.799,0.789,,-8.208,1,0.0395,0.0595,,0.0338,0.831,116.083,4,10,5.558666667
Victor Manu,Raphaela,47,0.494,0.0634,2,-19.203,1,0.044,0.984,0.926,0.11,0.15,78.227,4,7,3.014916667
The Last Shadow Puppets,Bad Habits,49,0.52,0.642,9,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,4,10,3.016133333
Anne-Marie,Our Song,48,0.595,0.759,11,-4.245,0,0.0423,0.141,,0.172,0.515,80.953,4,9,2.728883333
How Lucky,"Kurt Vile, John Prine",,0.523,0.441,5,-9.928,1,0.0311,0.465,0.00268,0.365,0.49,171.246,4,0,3.385116667
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",28,0.566,0.943,,-10.359,1,0.123,0.00488,0.346,0.728,0.324,117.813,4,10,6.717116667
Veruca Salt,Seether,47,0.612,0.86,8,-9.175,1,0.044,0.00253,0.00153,0.158,0.687,136.212,4,1,3.27445
Juice WRLD,Life's A Mess (feat. Halsey),77,0.63,0.446,1,-8.9,1,0.0351,0.337,,0.166,0.177,143.078,4,5,3.369883333
BENEE,C U,53,0.521,0.532,9,-11.492,0,0.0357,0.563,0.000435,0.386,0.326,95.19,4,9,3.008883333
Berry Sakharof,נפתלי הדג,18,0.501,0.474,2,-13.893,1,0.0299,0.608,0.885,0.147,0.281,102.404,4,10,5.871116667
Ganser,Self Service - Adam Faulkner / Girl Band Remix,9,0.185,0.865,9,-10.522,1,0.0576,0.000632,0.807,0.112,0.0789,84.031,3,6,3.45775
Dion,Blues Comin’ On,34,0.532,0.685,4,-6.577,0,0.0318,0.0208,0.000154,0.303,0.648,140.036,4,2,4.801183333
Nick Cave & The Bad Seeds,Deanna,41,0.415,0.94,,-4.874,1,0.0889,0.0049,,0.144,0.439,134.392,4,1,3.76045
Soen,Lotus,49,0.425,0.403,4,-9.343,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,4,10,5.39885
Vani Jairam,Bole Re Papihara,20,0.373,0.707,1,-9.566,0,0.0562,0.668,3.68E-05,0.361,0.75,89.1,4,3,3.578883333
Liam Gallagher,Once,59,0.39,0.646,6,-3.961,1,0.0372,0.0904,,0.114,0.271,120.755,4,10,3.561283333
The Pretty Things,She's a Lover,38,0.439,0.795,2,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,4,6,3.53445
Tha Dogg Pound,"New York, New York",56,0.827,0.532,2,-4.775,1,0.302,0.0219,2.91E-05,0.127,0.694,87.257,4,5,4.840666667
BLAB,Casual Sex,26,0.709,0.685,2,-7.573,1,0.0281,0.0355,0.0268,0.0389,0.7,129.987,4,1,3.242783333
Mighty Sam McClain,When the Hurt Is Over,41,0.583,0.143,,-15.786,1,0.148,0.676,2.84E-05,0.117,0.533,156.009,3,2,6.1916
Trillary Banks,Last Man Standing,35,0.704,0.579,6,-9.331,1,0.418,0.287,,0.139,0.712,142.815,4,5,2.94445
El Goodo,Feel so Fine,30,0.247,0.88,2,-3.057,1,0.097,2.01E-05,0.309,0.122,0.333,134.445,4,10,3.958216667
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54,0.801,0.637,,-6.406,1,0.0565,0.169,3.75E-05,0.0925,0.769,77.012,4,2,3.639333333
Why Bonnie,Athlete,24,0.539,0.578,4,-8.522,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,4,10,3.198166667
Snoop Dogg,Beautiful,63,0.907,0.695,11,-6.268,0,0.135,0.246,,0.0808,0.961,101.007,4,5,4.971783333
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),68,0.667,0.636,8,-5.669,1,0.082,0.022,,0.0908,0.152,158.058,4,10,2.531516667
Turbo Knight,Rasengan,43,0.436,0.944,10,-7.981,1,0.0398,0.0035,0.972,0.105,0.588,110.002,4,6,5.12575
The Black Crowes,Sometimes Salvation,41,0.366,0.662,4,-4.914,1,0.034,0.00261,,0.0594,0.362,148.34,3,10,4.733333333
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),41,0.777,0.71,,-4.717,1,0.0919,0.0295,,0.192,0.673,129.945,4,9,7.91222E-05
Radiohead,Burn the Witch,57,0.54,0.847,11,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,4,10,3.676816667
Oceans,Shark Tooth,42,0.435,0.889,11,-6.462,0,0.0474,2.38E-05,0.000872,0.87,0.344,93.896,4,8,3.30575
Arctic Monkeys,R U Mine?,79,0.288,0.758,6,-5.692,0,0.0371,0.00616,,0.303,0.619,97.094,4,10,3.3621
The Stranglers,Golden Brown,71,0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3,10,3.446
Itay Levi,השקט של שבת,33,0.683,0.347,1,-10.392,1,0.0473,0.549,,0.0907,0.437,80.009,4,9,2.627166667
Joe Bonamassa,Cradle Rock,44,0.411,0.91,2,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,4,10,3.833783333
LeRoi Thirteen,Stand up and Shout (Cover),41,0.49,0.974,8,-4.295,1,0.115,0.000546,0.225,0.336,0.257,108.946,4,8,3.82695
Us The Duo,drivers license,55,0.374,0.35,10,-11.48,1,0.176,0.843,,0.188,0.129,74.464,1,0,3.81156667
Keller Williams,Right Here,43,0.633,0.194,8,-14.543,1,0.0729,0.885,0.404,0.111,0.421,143.376,4,2,5.806383333
Primal Scream,Movin' on Up,63,0.523,0.76,5,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,4,10,3.80445
Lil Son Jackson,Upstairs Boogie,35,0.593,0.438,10,-13.451,0,0.028,0.883,0.0167,0.317,0.758,130.225,3,2,2.276
Drake,Passionfruit,81,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4,9,8.30392E-05
Abstract Orchestra,New Day,45,0.748,0.411,8,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,4,5,2.417533333
Luther Allison,Soul Fixin' Man,13,0.529,0.595,2,-13.696,1,0.0375,0.0227,0.0266,0.0326,0.767,134.642,4,2,3.13045
Elena Falwell,Elegi For Cello,41,0.167,0.148,,-19.539,1,0.0347,0.955,0.897,0.111,0.04,76.412,3,7,2.7204
Sharon Van Etten,Comeback Kid,51,0.543,0.927,,-5.209,1,0.0755,0.000342,0.543,0.0327,0.354,120.097,4,10,3.038883333
beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",41,0.644,0.891,2,-5.147,1,0.0526,0.00111,0.00798,0.118,0.504,110.007,4,10,3.991466667
R.E.M.,Drive,62,0.467,0.432,7,-11.753,1,0.0283,0.175,0.001,0.226,0.238,142.642,4,10,4.522216667
FCG Heem,Shinin,44,0.514,0.387,6,-11.51,0,0.409,0.0753,,0.0485,0.461,84.112,4,5,3.113533333
The Beatles,She's Leaving Home - Remastered,,0.381,0.214,4,-11.629,1,0.0337,0.944,,0.106,0.393,127.581,3,0,3.586
Tom The Mail Man,Taking Over,60,0.762,0.516,5,-8.016,0,0.0969,0.0288,,0.0966,0.721,156.97,4,5,2.633333333
ANSON,Ghost,28,0.357,0.943,4,-6.168,0,0.101,0.000547,,0.145,0.482,147.217,4,10,3.4947
Jimmy Eat World,All The Way (Stay),38,0.576,0.931,7,-2.491,1,0.0563,0.00085,,0.143,0.735,133.986,4,10,4.095783333
dempsey hope,picture perfect,3,0.61,0.482,5,-9.137,1,0.137,0.299,,0.0527,0.869,73.628,4,9,2.450216667
Howie Lee,Birdy Island,24,0.491,0.504,4,-13.581,0,0.0566,0.625,0.794,0.222,0.145,159.911,4,6,4.31285
Pit Pony,Dutch Courage,25,0.117,0.916,1,-3.281,1,0.0723,1.39E-05,0.0992,0.219,0.423,151.886,4,1,4.503416667
Niko B,Who's That What's That,63,0.86,0.668,7,-8.512,1,0.221,0.423,1.85E-06,0.096,0.237,128.096,4,9,4
Ruthi Navon,חשמל בכפות ידיך,22,0.766,0.526,10,-11.819,1,0.0392,0.784,0.000214,0.0879,0.934,141.631,4,10,3.966666667
Dan + Shay,Good Things,71,0.529,0.621,11,-6.018,1,0.0296,0.13,,0.173,0.617,97.189,4,9,4.13631E-05
Gossip,Standing In the Way of Control,55,0.697,0.919,7,-6.174,1,0.029,0.00694,0.0621,0.203,0.943,118.341,4,6,4.273333333
Gone Is Gone,Breaks,28,0.407,0.932,11,-6.252,1,0.113,0.00363,0.346,0.229,0.173,102.954,4,8,3.920233333
Violent Soho,Covered in Chrome,55,0.564,0.753,5,-5.223,1,0.0433,0.00512,2.43E-06,0.167,0.414,152.064,4,10,3.54245
Mr. Oizo,Positif,44,0.744,0.928,10,-5.628,0,0.0495,0.000409,0.624,0.132,0.507,123.014,4,6,2.852
Cage The Elephant,Skin and Bones,65,0.539,0.788,9,-3.227,0,0.0396,0.0089,,0.29,0.357,159.986,4,10,3.26955
Carusella,Star Quality,11,0.431,0.967,1,-4.555,1,0.114,0.00159,0.0064,0.142,0.179,146.623,4,6,4.490666667
Faith No More,Falling to Pieces,,0.545,0.919,2,-7.679,1,0.0483,0.00269,0.00512,0.0978,0.386,104.364,4,10,5.226216667
FLO,D's,66,0.266,0.294,7,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941,3,9,13.51795
Pathiena,The Deepest Of Sorrow,40,0.645,0.329,2,-16.642,1,0.0419,0.239,0.892,0.375,0.184,128.099,4,0,3.545833333
The Offspring,Coming for You,59,0.508,0.912,,-1.798,1,0.0827,9.75E-05,1.25E-06,0.0669,0.533,139.381,4,10,3.809783333
Pain of Salvation,Meaningless,42,0.579,0.661,7,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,3,10,4.791116667
Lenny Kravitz,Stand By My Woman,,0.521,0.527,2,-6.371,1,0.0296,0.0931,0.0244,0.106,0.273,122.271,4,10,4.327116667
Black Sabbath,Paranoid,16,0.426,0.619,4,-11.501,0,0.0722,8.44E-05,0.00239,0.17,0.382,162.721,4,10,4.67889E-05
The Dark Element,Songs the Night Sings,47,0.449,0.854,3,-8.261,1,0.0431,4.62E-05,0.016,0.246,0.408,152.142,4,8,5.163783333
Henry Gray,Let's Get High,19,0.698,0.609,,-6.993,1,0.0485,0.743,,0.188,0.665,131.057,4,2,3.87355
Eyal Golan,טעיתי,38,0.54,0.425,5,-9.577,0,0.0518,0.428,,0.218,0.239,88.047,4,9,3.675716667
Noah Kahan,Young Blood - Acoustic,59,0.691,0.231,11,-10.512,1,0.0471,0.815,,0.103,0.298,85.153,4,0,3.34355
The First Edition,Just Dropped In (To See What Condition My Condition Was In),57,0.58,0.551,9,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,4,10,3.35355
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42,0.565,0.754,8,-11.636,0,0.0344,0.678,0.0442,0.0756,0.922,135.01,3,3,6.05555
Bryan Adams,I Think About You,43,0.616,0.551,7,-7.27,1,0.0249,0.155,,0.099,0.618,75.027,4,10,3.606216667
The Shins,Simple Song,62,0.546,0.878,7,-5.137,1,0.0525,0.0133,,0.135,0.35,119.945,4,1,4.256666667
benny blanco,Care (with Omar Apollo),50,0.618,0.215,2,-12.8,1,0.04,0.759,0.00962,0.109,0.214,90.004,4,1,4.8411
The 1975,She's American,57,0.639,0.859,1,-3.923,1,0.0554,0.18,0.000499,0.0798,0.523,115.97,4,10,4.501733333
Winger,Seventeen,60,0.577,0.676,8,-11.931,1,0.0295,0.000895,2.29E-06,0.0625,0.676,95.98,4,8,4.087783333
Townes Van Zandt,Waitin' Around To Die,52,0.551,0.233,6,-18.251,0,0.0312,0.71,0.000949,0.11,0.659,89.574,4,6,2.753116667
Piers Faccini,Bring Down The Wall,28,0.454,0.387,2,-10.159,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,4,10,3.42555
Athletic Progression,Stepney Tale,37,0.632,0.8,5,-7.227,0,0.234,0.547,,0.147,0.496,92.757,4,5,3.497216667
Thirty Seconds To Mars,Dangerous Night,56,0.295,0.715,2,-6.533,1,0.0709,0.00212,1.55E-06,0.242,0.242,86.937,4,10,3.32955
Pete Rock & C.L. Smooth,Straighten It Out,50,0.77,0.656,10,-11.169,0,0.246,0.11,,0.0793,0.788,98.82,4,5,4.22355
Peter Case,Bumble Bee,45,0.717,0.245,7,-10.908,0,0.0493,0.665,0.000119,0.385,0.502,83.554,4,2,3.582216667
Menahan Street Band,Queens Highway,50,0.778,0.399,1,-8.984,1,0.0858,0.0751,0.835,0.103,0.321,137.305,4,1,1.128666667
Butcher Babies,Sleeping with the Enemy,48,0.438,0.951,7,-5.192,0,0.0736,4.63E-05,0.233,0.351,0.461,165.088,4,8,3.548783333
MICROCORPS,DOR,10,0.451,0.776,3,-11.756,0,0.0587,0.0518,0.703,0.11,0.609,177.953,4,6,5.521733333
Sarah Palu,Ikivirta,38,0.617,0.375,5,-11.889,0,0.0319,0.742,0.513,0.109,0.117,151.983,4,1,6.459116667
Saltatio Mortis,Kaufmann und Maid,54,0.565,0.768,2,-5.332,0,0.0382,0.0277,,0.0725,0.58,124.006,4,8,3.731783333
JADHU,Fling,32,0.62,0.835,9,-6.711,0,0.0319,0.273,0.00339,0.113,0.699,99.022,4,9,3.7512
Bring Me The Horizon,Parasite Eve,69,0.589,0.797,9,-5.464,1,0.15,0.0289,4.35E-06,0.383,0.232,102.489,4,10,4.86355
Frost*,Day and Age - Edit,38,0.443,0.858,8,-6.935,1,0.0378,0.000843,0.00243,0.18,0.34,169.951,4,8,5.02555
Toto Espinoza,Frida Kahlo,41,0.605,0.162,4,-12.932,0,0.0353,0.98,0.899,0.104,0.126,95.576,3,7,5.735216667
T-Bone Walker,Evil Hearted Woman - Alternate Take,30,0.624,0.26,1,-11.64,1,0.0621,0.904,0.0263,0.0825,0.551,51,4,2,2.61555
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,7,0.513,0.658,6,-7.185,0,0.0622,0.512,,0.21,0.698,145.896,4,3,3.181333333
Jimi Hendrix,Purple Haze,71,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,4,10,4.74481E-05
Eskiz,Aborjinin Türküsü,21,0.588,0.747,7,-6.064,1,0.0498,0.116,7.20E-05,0.244,0.263,138.067,4,10,4.15
Lowest Creature,Reapers Fool,23,0.487,0.975,11,-4.974,1,0.105,7.47E-05,0.0183,0.201,0.526,139.964,4,8,3.366983333
Tomer Yeshayahu,בלי לעזוב,30,0.621,0.375,5,-11.8,1,0.0297,0.701,1.20E-06,0.122,0.508,132.611,4,9,3.660416667
Neon Trees,Animal,66,0.482,0.829,5,-5.576,1,0.0437,0.00034,,0.378,0.739,147.99,4,10,3.53845
JJ Lin,Bedroom (feat. Anne-Marie),69,0.369,0.424,7,-5.431,1,0.0318,0.64,,0.184,0.181,179.597,4,9,3.39985
Foreign Air,Monsters,50,0.552,0.673,9,-4.9,0,0.0298,0.00553,,0.114,0.174,89.993,4,6,3.734216667
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34,0.548,0.347,7,-14.7,0,0.0362,0.771,0.00175,0.124,0.498,117.75,4,3,6.90355
Scary Kids Scaring Kids,Holding On,49,0.421,0.935,8,-5.153,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,4,10,4.354
Lawrence of Arcadia,David Keenan,30,0.524,0.336,2,-8.034,1,0.0415,0.841,0.00118,0.111,0.458,110.964,5,0,4.757883333
Nirvana,In Bloom,65,0.436,0.876,10,-4.902,0,0.0647,3.33E-05,0.000104,0.205,0.512,157.044,4,1,4.251333333
Berry Sakharof,77' - Acoustic Live,17,0.5,0.47,,-7.996,1,0.0345,0.642,0.0511,0.276,0.346,158.809,4,10,4.473333333
Breezie 311,Shots In The Dark,32,0.705,0.756,9,-5.274,0,0.0415,0.00477,,0.0892,0.846,129.98,4,10,2.364583333
Ghali,Combo (feat. Mr Eazi),41,0.825,0.781,9,-4.732,0,0.107,0.0833,3.55E-05,0.26,0.812,100.013,4,9,2.933533333
Gwar,Sick of You,48,0.657,0.535,1,-9.715,1,0.047,0.000329,0.000492,0.318,0.738,132.257,4,8,3.147166667
Downset,Empower,42,0.58,0.93,1,-5.719,1,0.12,0.0128,,0.102,0.534,97.917,4,8,2.40445
Blue Material,Blue Blood,37,0.621,0.602,9,-7.796,0,0.0279,0.000316,0.853,0.134,0.609,116.011,4,6,3.835866667
Sempra,B Mine?,19,0.754,0.92,3,-4.484,0,0.05,0.183,0.689,0.187,0.966,147.998,4,1,4.43555
Malcolm McLaren,Buffalo Gals,41,0.881,0.636,4,-13.617,0,0.156,0.0257,0.000257,0.207,0.616,108.863,4,5,4.323783333
Arcade Fire,Ready to Start,58,0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,4,10,4.264883333
Bad Nerves,Dreaming,32,0.449,0.958,6,-6.602,0,0.123,5.33E-06,0.000116,0.148,0.389,107.458,4,6,2.156216667
3 Doors Down,Your Arms Feel Like home,37,0.548,0.709,9,-6.557,0,0.0273,0.00678,3.82E-06,0.104,0.191,119.998,4,10,3.736883333
ARXX,Deep,33,0.65,0.6,9,-10.615,0,0.04,0.0278,0.00121,0.811,0.795,110.016,4,10,3.003383333
Crown Lands,Howlin' Back Again,39,0.494,0.969,6,-2.694,1,0.222,0.172,0.00158,0.148,0.165,121.214,4,10,2.830133333
The Undercover Dream Lovers,Get to You,42,0.761,0.707,5,-6.208,0,0.0356,0.68,0.421,0.0969,0.893,113.976,4,6,3.473683333
A Scent Like Wolves,Telephone,39,0.553,0.939,3,-4.04,0,0.0795,0.000833,0.000181,0.404,0.369,124.984,4,8,3.314
Idan Rafael Haviv,שלמים,55,0.417,0.355,,-12.372,1,0.0599,0.847,4.18E-05,0.113,0.0914,86.078,4,9,3.68375
Otis Junior,When It's Sweet,30,0.824,0.489,9,-5.669,0,0.0692,0.302,,0.0887,0.771,86.815,4,1,2.670833333
Madhav Gopi Nair,Mukti,17,0.349,0.336,4,-11.111,1,0.0292,0.723,0.913,0.154,0.062,112.966,5,6,1.86275
The Sequence,Funk You Up - 12'' Version,24,0.921,0.768,,-5.735,1,0.311,0.507,0.000738,0.053,0.775,103.713,4,5,10.872
Advaita,Ghir Ghir,33,0.601,0.728,4,-10.469,1,0.0436,0.378,0.726,0.368,0.862,137.99,3,0,5.09355
John Campbell,Devil in My Closet,30,0.353,0.495,8,-11.503,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,4,2,6.01
Dan + Shay,Glad You Exist,79,0.748,0.551,11,-6.12,1,0.0349,0.235,,0.119,0.66,103.953,4,4,2.408883333
Gymshorts,Gotta Get Away,23,0.15,0.843,9,-8.369,1,0.0439,0.000127,0.502,0.665,0.729,180.034,4,1,2.4322
Liz Phair,Fuck and Run,47,0.774,0.64,2,-7.949,1,0.0333,0.743,0.0316,0.088,0.947,136.226,4,1,3.132216667
Stephen Taranto,Pixel Heart: Verdant,28,0.373,0.964,11,-7.925,0,0.0798,0.000152,0.791,0.109,0.207,83.958,4,8,5.20605
Deep Purple,Gettin' Tighter,43,0.42,0.831,7,-9.069,1,0.0754,0.00028,0.0711,0.153,0.752,120.867,4,10,3.636216667
Loyle Carner,Yesterday,60,0.428,0.98,11,-2.975,0,0.443,0.0734,,0.127,0.423,92.035,4,5,2.8109
Nickelback,Rockstar,70,0.616,0.91,,-3.004,1,0.0386,0.0459,,0.343,0.693,144.072,4,10,4.200666667
Post Malone,Motley Crew,90,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71E-06,0.0998,0.288,129.915,4,9,5.11703E-05
Yehudit Ravitz,רחבת הריקודים,20,0.418,0.761,9,-8.285,1,0.0557,0.295,1.37E-06,0.36,0.467,152.472,4,10,4.978216667
